Date Spot,SPC
11 Jun 15,16730
12 Jun 15,16700
15 Jun 15,16630
16 Jun 15,16500
17 Jun 15,16500
18 Jun 15,16450
19 Jun 15,16460
22 Jun 15,16320
23 Jun 15,16280
24 Jun 15,16220
25 Jun 15,16070
26 Jun 15,16020
29 Jun 15,16350
30 Jun 15,16380
1 Jul 15,16430
2 Jul 15,16480
3 Jul 15,16440
6 Jul 15,16570
7 Jul 15,16640
8 Jul 15,16530
9 Jul 15,16480
10 Jul 15,16510
13 Jul 15,16560
14 Jul 15,16600
15 Jul 15,16580
16 Jul 15,16570
17 Jul 15,16540
20 Jul 15,16550
21 Jul 15,16520
22 Jul 15,16430
23 Jul 15,16390
24 Jul 15,16340
27 Jul 15,16270
28 Jul 15,16230
29 Jul 15,16220
30 Jul 15,16160
31 Jul 15,16120
3 Aug 15,16060
4 Aug 15,16080
5 Aug 15,16030
6 Aug 15,16030
7 Aug 15,16000
10 Aug 15,15990
11 Aug 15,15980
12 Aug 15,15960
13 Aug 15,16040
14 Aug 15,16080
17 Aug 15,16130
18 Aug 15,16090
19 Aug 15,16050
20 Aug 15,16070
21 Aug 15,16140
24 Aug 15,16380
25 Aug 15,16310
26 Aug 15,16310
27 Aug 15,16410
28 Aug 15,16440
31 Aug 15,16480
1 Sep 15,16510
2 Sep 15,16670
3 Sep 15,16720
4 Sep 15,16650
7 Sep 15,16730
8 Sep 15,16700
9 Sep 15,16750
10 Sep 15,16770
11 Sep 15,16760
14 Sep 15,16710
15 Sep 15,16610
16 Sep 15,16520
18 Sep 15,16460
21 Sep 15,16440
22 Sep 15,16430
23 Sep 15,16440
24 Sep 15,16390
28 Sep 15,16160
29 Sep 15,16040
30 Sep 15,16040
1 Oct 15,15920
5 Oct 15,15900
6 Oct 15,15870
7 Oct 15,15900
8 Oct 15,15920
9 Oct 15,15900
12 Oct 15,15900
13 Oct 15,15990
14 Oct 15,15940
15 Oct 15,15880
16 Oct 15,15840
19 Oct 15,15770
20 Oct 15,15720
21 Oct 15,15720
23 Oct 15,15730
26 Oct 15,15690
27 Oct 15,15500
28 Oct 15,15600
29 Oct 15,15570
30 Oct 15,15570
2 Nov 15,15480
3 Nov 15,15480
4 Nov 15,15460
5 Nov 15,15480
6 Nov 15,15530
9 Nov 15,15460
10 Nov 15,15390
13 Nov 15,15390
